log,TrainLoss,TrainLossRelative,TestLoss,TestLossRelative,TestLoss2,TestLoss2Relative,TestLoss3,TestLoss3Relative
ndcn_heat_random_D9.txt,0.218958,0.017818,0.19622,0.015967,0.182534,0.014854,41.724155,3.395327
ndcn_heat_random__mean,0.1835998,0.0149147,0.1805216,0.0146383,0.1769547,0.0143726,29.1776328,2.3725908
ndcn_heat_random__std,0.039369177,0.003227319,0.033961668,0.00266478,0.029543279,0.002407435,15.84773328,1.287659655
ndcn_heat_random__mean,0.184,0.015,0.181,0.015,0.177,0.014,29.178,2.373
ndcn_heat_random__std,0.039,0.003,0.034,0.003,0.03,0.002,15.848,1.288
ndcn_heat_random__mean_std,0.184+0.039,0.015+0.003,0.181+0.034,0.015+0.003,0.177+0.03,0.014+0.002,29.178+15.848,2.373+1.288
,,,,,,,,
ndcn_heat_small_world_D0.txt,0.153352,0.012246,0.178568,0.01426,0.141821,0.011325,38.031189,3.037022
ndcn_heat_small_world_D1.txt,0.219755,0.017832,0.209194,0.016975,0.177706,0.01442,22.58602,1.832725
ndcn_heat_small_world_D2.txt,0.135187,0.010488,0.145852,0.011316,0.141791,0.011,18.96804,1.471585
ndcn_heat_small_world_D3.txt,0.141128,0.011058,0.140163,0.010982,0.133807,0.010484,8.192138,0.641862
ndcn_heat_small_world_D4.txt,0.27043,0.022249,0.300862,0.024753,0.277424,0.022825,22.759512,1.872524
ndcn_heat_small_world_D5.txt,0.141894,0.011544,0.256932,0.020902,0.150421,0.012237,17.979431,1.462698
ndcn_heat_small_world_D6.txt,0.12825,0.00975,0.150164,0.011416,0.12978,0.009866,26.649141,2.025935
ndcn_heat_small_world_D7.txt,0.134626,0.010844,0.12915,0.010403,0.137826,0.011102,14.25611,1.148291
ndcn_heat_small_world_D8.txt,0.146661,0.011323,0.141764,0.010944,0.15476,0.011948,21.749098,1.679072
ndcn_heat_small_world_D9.txt,0.128894,0.010724,0.150159,0.012493,0.117766,0.009798,34.333042,2.856401
ndcn_heat_small_world__mean,0.1600177,0.0128058,0.1802808,0.0144444,0.1563102,0.0125005,22.5503721,1.8028115
ndcn_heat_small_world__std,0.044616944,0.003801163,0.054736794,0.004666324,0.043152902,0.003668159,8.394368558,0.685985832
ndcn_heat_small_world__mean,0.16,0.013,0.18,0.014,0.156,0.013,22.55,1.803
ndcn_heat_small_world__std,0.045,0.004,0.055,0.005,0.043,0.004,8.394,0.686
ndcn_heat_small_world__mean_std,0.16+0.045,0.013+0.004,0.18+0.055,0.014+0.005,0.156+0.043,0.013+0.004,22.55+8.394,1.803+0.686
